"","region","year","pct_retained"
"220","IA",2008,100
"221","IA",2009,100
"222","IA",2010,100
"223","IA",2011,100
"224","IA",2012,100
"225","IA",2013,100
"226","IA",2014,100
"227","IA",2015,100
"228","IA",2016,81.8181818181818
"229","KS",2005,90.9090909090909
"230","KS",2006,81.25
"231","KS",2007,100
"232","KS",2008,90.4761904761905
"233","KS",2009,95
"234","KS",2010,89.4736842105263
"235","KS",2011,89.4736842105263
"236","KS",2012,100
"237","KS",2013,94.7368421052632
"238","KS",2014,100
"239","KS",2015,95.4545454545455
"240","KS",2016,90.9090909090909
"241","KY",2005,100
"242","KY",2006,100
"243","KY",2007,100
"244","KY",2008,100
"245","KY",2009,100
"246","KY",2010,100
"247","KY",2011,100
"248","KY",2012,100
"249","KY",2013,100
"250","KY",2014,80
"251","KY",2015,91.6666666666667
"252","KY",2016,100
"253","LA",2005,80
"254","LA",2006,66.6666666666667
"255","LA",2007,94.1176470588235
"256","LA",2008,88.2352941176471
"257","LA",2009,75
"258","LA",2010,94.1176470588235
"259","LA",2011,91.6666666666667
"260","LA",2012,90.3225806451613
"261","LA",2013,90.625
"262","LA",2014,76.6666666666667
"263","LA",2015,85.1851851851852
"264","LA",2016,88.8888888888889
"265","ME",2005,100
"266","ME",2006,100
"267","ME",2007,100
"268","ME",2008,100
"269","ME",2009,100
"270","ME",2010,83.3333333333333
"271","ME",2011,87.5
"272","ME",2012,90
"273","ME",2013,100
"274","ME",2014,100
"275","ME",2015,95.2380952380952
"276","ME",2016,77.2727272727273
"277","MD",2005,78.5714285714286
"278","MD",2006,95.4545454545455
"279","MD",2007,95.8333333333333
"280","MD",2008,85.1851851851852
"281","MD",2009,80.7692307692308
"282","MD",2010,100
"283","MD",2011,97.0588235294118
"284","MD",2012,91.6666666666667
"285","MD",2013,92.1052631578947
"286","MD",2014,89.7435897435898
"287","MD",2015,91.6666666666667
"288","MD",2016,82.9268292682927
"289","MH",2005,NA
"290","MH",2006,NA
"291","MH",2007,NA
"292","MH",2008,NA
"293","MH",2009,NA
"294","MH",2010,NA
"295","MH",2011,NA
"296","MH",2012,NA
"297","MH",2013,NA
"298","MH",2014,NA
"299","MH",2015,NA
"300","MH",2016,100
"301","MA",2005,92.8571428571429
"302","MA",2006,97.6190476190476
"303","MA",2007,92.5925925925926
"304","MA",2008,83.0188679245283
"305","MA",2009,88.4615384615385
"306","MA",2010,88.4615384615385
"307","MA",2011,92.4528301886792
"308","MA",2012,89.4736842105263
"309","MA",2013,92.9824561403509
"310","MA",2014,91.8032786885246
"311","MA",2015,90.625
"312","MA",2016,95.8333333333333
"313","MI",2005,89.3617021276596
"314","MI",2006,96
"315","MI",2007,93.5185185185185
"316","MI",2008,93.2203389830509
"317","MI",2009,93.9393939393939
"318","MI",2010,93.5714285714286
"319","MI",2011,87.719298245614
"320","MI",2012,93.1578947368421
"321","MI",2013,92.1951219512195
"322","MI",2014,94.2238267148014
"323","MI",2015,96.8115942028985
"324","MI",2016,92.462311557789
"325","FM",2005,NA
"326","FM",2006,NA
"327","FM",2007,NA
"328","FM",2008,NA
"329","FM",2009,NA
"330","FM",2010,NA
"331","FM",2011,NA
"332","FM",2012,NA
"333","FM",2013,NA
"334","FM",2014,NA
"335","FM",2015,NA
"336","FM",2016,NA
"337","MN",2005,100
"338","MN",2006,100
"339","MN",2007,100
"340","MN",2008,100
"341","MN",2009,95.0617283950617
"342","MN",2010,97.1428571428571
"343","MN",2011,99.236641221374
"344","MN",2012,99.3464052287582
"345","MN",2013,98.8888888888889
"346","MN",2014,95.1612903225806
"347","MN",2015,97.3958333333333
"348","MN",2016,85.9903381642512
"349","MS",2005,80
"350","MS",2006,100
"351","MS",2007,100
"352","MS",2008,100
"353","MS",2009,72.7272727272727
"354","MS",2010,91.6666666666667
"355","MS",2011,80
"356","MS",2012,80
"357","MS",2013,90
"358","MS",2014,77.7777777777778
"359","MS",2015,87.5
"360","MS",2016,88.8888888888889
"361","MO",2005,73.3333333333333
"362","MO",2006,93.9393939393939
"363","MO",2007,91.304347826087
"364","MO",2008,87.7551020408163
"365","MO",2009,90.3846153846154
"366","MO",2010,85.4166666666667
"367","MO",2011,94.2307692307692
"368","MO",2012,93.1034482758621
"369","MO",2013,95.0819672131148
"370","MO",2014,92.4242424242424
"371","MO",2015,95.6521739130435
"372","MO",2016,81.5384615384615
"373","MT",2005,100
"374","MT",2006,100
"375","MT",2007,80
"376","MT",2008,-133.333333333333
"377","MT",2009,100
"378","MT",2010,83.3333333333333
"379","MT",2011,83.3333333333333
"380","MT",2012,100
"381","MT",2013,80
"382","MT",2014,-50
"383","MT",2015,100
"384","MT",2016,0
"385","NE",2005,NA
"386","NE",2006,NA
"387","NE",2007,100
"388","NE",2008,100
"389","NE",2009,-Inf
"390","NE",2010,NA
"391","NE",2011,NA
"392","NE",2012,100
"393","NE",2013,-Inf
"394","NE",2014,NA
"395","NE",2015,NA
"396","NE",2016,100
"397","NV",2005,37.5
"398","NV",2006,75
"399","NV",2007,92.3076923076923
"400","NV",2008,100
"401","NV",2009,78.5714285714286
"402","NV",2010,58.3333333333333
"403","NV",2011,90.9090909090909
"404","NV",2012,60
"405","NV",2013,90.9090909090909
"406","NV",2014,50
"407","NV",2015,90
"408","NV",2016,77.7777777777778
"409","NH",2005,100
"410","NH",2006,96.1538461538462
"411","NH",2007,100
"412","NH",2008,96.4285714285714
"413","NH",2009,92.5925925925926
"414","NH",2010,100
"415","NH",2011,96.875
"416","NH",2012,90
"417","NH",2013,93.1034482758621
"418","NH",2014,96.7741935483871
"419","NH",2015,100
"420","NH",2016,87.5
"421","NJ",2005,97.8260869565217
"422","NJ",2006,100
"423","NJ",2007,89.4736842105263
"424","NJ",2008,98.4126984126984
"425","NJ",2009,90.1639344262295
"426","NJ",2010,96.875
"427","NJ",2011,92.0634920634921
"428","NJ",2012,90.3225806451613
"429","NJ",2013,98.5507246376812
"430","NJ",2014,95.6521739130435
"431","NJ",2015,95.8904109589041
"432","NJ",2016,88.8888888888889
"433","NM",2005,0
"434","NM",2006,66.6666666666667
"435","NM",2007,66.6666666666667
"436","NM",2008,100
"437","NM",2009,75
"438","NM",2010,66.6666666666667
"439","NM",2011,50
"440","NM",2012,100
"441","NM",2013,80
"442","NM",2014,100
"443","NM",2015,60
"444","NM",2016,100
"445","NY",2005,92.2222222222222
"446","NY",2006,94.7916666666667
"447","NY",2007,92.0792079207921
"448","NY",2008,98.2142857142857
"449","NY",2009,95.0819672131148
"450","NY",2010,89.0756302521008
"451","NY",2011,93.7007874015748
"452","NY",2012,92.4812030075188
"453","NY",2013,96.4788732394366
"454","NY",2014,93.1972789115646
"455","NY",2015,94.5578231292517
"456","NY",2016,88.8157894736842
"457","NC",2005,85.7142857142857
"458","NC",2006,66.6666666666667
"459","NC",2007,85.7142857142857
"460","NC",2008,91.6666666666667
"461","NC",2009,90.9090909090909
"462","NC",2010,94.7368421052632
"463","NC",2011,94.4444444444444
"464","NC",2012,86.4864864864865
"465","NC",2013,92.8571428571429
"466","NC",2014,93.0232558139535
"467","NC",2015,92
"468","NC",2016,84.9056603773585
"469","ND",2005,50
"470","ND",2006,50
"471","ND",2007,75
"472","ND",2008,80
"473","ND",2009,100
"474","ND",2010,33.3333333333333
"475","ND",2011,100
"476","ND",2012,50
"477","ND",2013,100
"478","ND",2014,100
"479","ND",2015,100
"480","ND",2016,100
"481","MP",2005,NA
"482","MP",2006,NA
"483","MP",2007,NA
"484","MP",2008,NA
"485","MP",2009,NA
"486","MP",2010,NA
"487","MP",2011,NA
"488","MP",2012,NA
"489","MP",2013,NA
"490","MP",2014,NA
"491","MP",2015,NA
"492","MP",2016,NA
"493","OH",2005,78.7878787878788
"494","OH",2006,87.0967741935484
"495","OH",2007,83.8709677419355
"496","OH",2008,97.2222222222222
"497","OH",2009,97.6190476190476
"498","OH",2010,82.9787234042553
"499","OH",2011,87.2340425531915
"500","OH",2012,87.5
"501","OH",2013,96.6666666666667
"502","OH",2014,81.8181818181818
"503","OH",2015,94.6428571428571
"504","OH",2016,79.6610169491525
"505","OK",2005,100
"506","OK",2006,100
"507","OK",2007,100
"508","OK",2008,94.8717948717949
"509","OK",2009,89.3617021276596
"510","OK",2010,85.7142857142857
"511","OK",2011,83.3333333333333
"512","OK",2012,91.6666666666667
"513","OK",2013,93.75
"514","OK",2014,91.304347826087
"515","OK",2015,91.6666666666667
"516","OK",2016,94.1176470588235
"517","OR",2005,92.8571428571429
"518","OR",2006,92.8571428571429
"519","OR",2007,100
"520","OR",2008,95.6521739130435
"521","OR",2009,96.4285714285714
"522","OR",2010,96.969696969697
"523","OR",2011,91.4285714285714
"524","OR",2012,90.6976744186046
"525","OR",2013,90.6976744186046
"526","OR",2014,92.8571428571429
"527","OR",2015,95.3488372093023
"528","OR",2016,87.5
"529","PW",2005,NA
"530","PW",2006,NA
"531","PW",2007,NA
"532","PW",2008,NA
"533","PW",2009,NA
"534","PW",2010,NA
"535","PW",2011,NA
"536","PW",2012,NA
"537","PW",2013,NA
"538","PW",2014,NA
"539","PW",2015,NA
"540","PW",2016,NA
"541","PA",2005,95.2380952380952
"542","PA",2006,90.4761904761905
"543","PA",2007,85.7142857142857
"544","PA",2008,94
"545","PA",2009,89.5833333333333
"546","PA",2010,86.6666666666667
"547","PA",2011,93.75
"548","PA",2012,98.4615384615385
"549","PA",2013,95.7746478873239
"550","PA",2014,95.7142857142857
"551","PA",2015,94.5945945945946
"552","PA",2016,77.1428571428571
"553","PR",2005,-100
"554","PR",2006,100
"555","PR",2007,100
"556","PR",2008,100
"557","PR",2009,0
"558","PR",2010,0
"559","PR",2011,50
"560","PR",2012,0
"561","PR",2013,100
"562","PR",2014,100
"563","PR",2015,0
"564","PR",2016,100
"565","RI",2005,100
"566","RI",2006,100
"567","RI",2007,100
"568","RI",2008,50
"569","RI",2009,100
"570","RI",2010,100
"571","RI",2011,100
"572","RI",2012,100
"573","RI",2013,100
"574","RI",2014,83.3333333333333
"575","RI",2015,83.3333333333333
"576","RI",2016,85.7142857142857
"577","SC",2005,90.9090909090909
"578","SC",2006,92
"579","SC",2007,72.7272727272727
"580","SC",2008,95.4545454545455
"581","SC",2009,95.6521739130435
"582","SC",2010,90.9090909090909
"583","SC",2011,92
"584","SC",2012,87.0967741935484
"585","SC",2013,91.6666666666667
"586","SC",2014,90.2439024390244
"587","SC",2015,97.5609756097561
"588","SC",2016,84.0909090909091
"589","SD",2005,-133.333333333333
"590","SD",2006,100
"591","SD",2007,50
"592","SD",2008,0
"593","SD",2009,-Inf
"594","SD",2010,NA
"595","SD",2011,NA
"596","SD",2012,NA
"597","SD",2013,100
"598","SD",2014,100
"599","SD",2015,100
"600","SD",2016,0
"601","TN",2005,100
"602","TN",2006,100
"603","TN",2007,100
"604","TN",2008,33.3333333333333
"605","TN",2009,100
"606","TN",2010,90
"607","TN",2011,87.5
"608","TN",2012,88.4615384615385
"609","TN",2013,97.2222222222222
"610","TN",2014,90.6976744186046
"611","TN",2015,88.8888888888889
"612","TN",2016,41.1764705882353
"613","TX",2005,81.4814814814815
"614","TX",2006,87.8787878787879
"615","TX",2007,88.5714285714286
"616","TX",2008,97.7777777777778
"617","TX",2009,95.6043956043956
"618","TX",2010,90.3846153846154
"619","TX",2011,97.2222222222222
"620","TX",2012,78.9115646258503
"621","TX",2013,77.6978417266187
"622","TX",2014,80.3030303030303
"623","TX",2015,85.2941176470588
"624","TX",2016,76.4705882352941
"625","UT",2005,100
"626","UT",2006,0
"627","UT",2007,100
"628","UT",2008,66.6666666666667
"629","UT",2009,100
"630","UT",2010,93.75
"631","UT",2011,83.3333333333333
"632","UT",2012,72.2222222222222
"633","UT",2013,95
"634","UT",2014,86.3636363636364
"635","UT",2015,85
"636","UT",2016,56.25
"637","VT",2005,100
"638","VT",2006,100
"639","VT",2007,100
"640","VT",2008,100
"641","VT",2009,100
"642","VT",2010,100
"643","VT",2011,100
"644","VT",2012,100
"645","VT",2013,100
"646","VT",2014,50
"647","VT",2015,100
"648","VT",2016,100
"649","VA",2005,96.3636363636364
"650","VA",2006,87.719298245614
"651","VA",2007,87.719298245614
"652","VA",2008,89.6551724137931
"653","VA",2009,91.5254237288136
"654","VA",2010,93.9393939393939
"655","VA",2011,94.1176470588235
"656","VA",2012,89.3939393939394
"657","VA",2013,94.1176470588235
"658","VA",2014,98.6111111111111
"659","VA",2015,96
